reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,clean_content,sentiment
155f5890-ef85-415e-ac30-f65744624860,Jdm x JKT48,https://play-lh.googleusercontent.com/a-/ALV-UjUqBp5-o4gpXdTw8fNx-zAY35GF1Q1hFQf7BYetYXGlaSYBjR0,maaf bintang 4 dulu kalo bisa tolong tambahin lagi metode buat deposit nya kaya ewalet gitu soalnya banyak yang belum punya rekening bank jadi tolong di tambahin lagi ya metode deposit dan WD nya,4,0,1.5.2,2025-10-08 17:11:45,"Hai! 👋
Terima kasih banyak untuk review positifnya! Senang banget tahu kamu suka dengan aplikasi Floq.

Soal fitur Futures, noted banget ya! Tim kami terus berusaha mengembangkan fitur-fitur baru, jadi semoga bisa segera hadir.
Stay tuned dan terus support Floq, ya! 🚀",2025-10-08 17:29:45,1.5.2,maaf bintang 4 dulu kalo bisa tolong tambahin lagi metode buat deposit nya kaya ewalet gitu soalnya banyak yang belum punya rekening bank jadi tolong di tambahin lagi ya metode deposit dan wd nya,positif
779aaacb-a283-4ffe-b087-b488bdc76d97,Muhammad Helmi,https://play-lh.googleusercontent.com/a-/ALV-UjUXUQkQeEQiunOytsb5DFVBOMUskyFlonwGKVT7boXY5uQy7coh,Tambahin Fitur Limit order aja sih lagi yang lain ok semua,4,0,,2025-10-08 15:14:00,"Hai! 👋
Terima kasih banyak untuk review positifnya! Senang banget tahu kamu suka dengan aplikasi Floq.

Soal fitur Futures, noted banget ya! Tim kami terus berusaha mengembangkan fitur-fitur baru, jadi semoga bisa segera hadir.
Stay tuned dan terus support Floq, ya! 🚀",2025-10-08 15:33:44,,tambahin fitur limit order aja sih lagi yang lain ok semua,positif
64c4311b-661c-49fc-86fc-97e4c11f782b,Bang Bwakarrr,https://play-lh.googleusercontent.com/a-/ALV-UjWQbTpcJiWciFTzsDSefrWzSul3GjgVx-5IPf2b6z6S_XIvyjg,"akun saya tiba tiba hilang ,tiba tiba ke log out dan mencoba untuk login lagi ternyata tidak bisa,apk ini scam dan sangat buruk",1,0,,2025-10-08 13:36:27,"Hi, Biar bisa kami bantu lebih lanjut, kamu bisa langsung hubungi tim support melalui fitur Live Chat di aplikasi Floq.
Terima kasih sudah sabar — kita akan pastikan prosesnya berjalan lancar secepat mungkin! ✨",2025-10-08 13:49:07,,akun saya tiba tiba hilang tiba tiba ke log out dan mencoba untuk login lagi ternyata tidak bisa apk ini scam dan sangat buruk,negatif
b3c69e18-3cf0-4c98-9aab-f856e6f35508,Faris,https://play-lh.googleusercontent.com/a/ACg8ocK4ouq-dDr5bjBXz4m-tSngH2BCa7hy12_4hNrGEMeosELOEg=mo,untuk verifikasi lama gak masuk2 saya gimana min,1,0,,2025-10-08 06:16:18,"Hai!
Maaf banget ya atas kendala yang kamu alami saat proses verifikasi.
Biar bisa kami bantu lebih lanjut, kamu bisa langsung hubungi tim support melalui fitur Live Chat di aplikasi Floq.
Terima kasih sudah sabar — kita akan pastikan prosesnya berjalan lancar secepat mungkin! ✨",2025-10-08 07:07:13,,untuk verifikasi lama gak masuk2 saya gimana min,negatif
3191e991-df44-4a0a-b214-8835363bb5eb,Lynki Nam,https://play-lh.googleusercontent.com/a/ACg8ocLLH8M4Dn7i1tSrgI-1mmMqxzUoAedTorb-1tAu-K8GYofZ_Q=mo,Kenapa saat verifikasi lama banget? padahal apk ini bagus lo?,4,0,1.5.2,2025-10-08 04:18:07,"Hai!
Maaf banget ya atas kendala yang kamu alami saat proses verifikasi.
Biar bisa kami bantu lebih lanjut, kamu bisa langsung hubungi tim support melalui fitur Live Chat di aplikasi Floq.
Terima kasih sudah sabar — kita akan pastikan prosesnya berjalan lancar secepat mungkin! ✨",2025-10-08 07:03:54,1.5.2,kenapa saat verifikasi lama banget padahal apk ini bagus lo,positif
c1470ea5-0bfc-4ebb-ae4a-e12c0af7009e,Yolan Irwansyah,https://play-lh.googleusercontent.com/a-/ALV-UjX7QPrPzJYcPt9pf9HjmPJG_1vCk7Od5PVmoMaanpkoNNpiQ5bL,tolong adakan bank seabank lah masa pilihan bank nya tidak lengkap,1,0,1.5.2,2025-10-07 22:59:15,"Hai! 👋
Soal fitur Futures, noted banget ya! Tim kami terus berusaha mengembangkan fitur-fitur baru, jadi semoga bisa segera hadir.
Stay tuned dan terus support Floq, ya! 🚀
Kalau masalahnya sudah teratasi, kami akan sangat senang jika kamu bersedia mengupdate review-nya
Terima kasih atas feedback-nya! 💛",2025-10-07 23:04:39,1.5.2,tolong adakan bank seabank lah masa pilihan bank nya tidak lengkap,negatif
b8d91f21-4eb7-42ab-a770-4535d3e519e3,TAKHFADZ UBAIDILAH,https://play-lh.googleusercontent.com/a-/ALV-UjUEA7lKEO90h60N8D1q9RuFs6OJXZhZoQHu-AAQZn_mQMnjviI2,sangat mendukung terutama untuk pemula aksesnyh sangatt2 fleksibilitas untuk mudah dipahami,5,0,1.5.0,2025-10-07 21:16:25,"Hai! Terima kasih banyak buat bintangnya!
Seneng banget bisa jadi bagian dari pengalaman kamu yang menyenangkan 💫
Kalau nanti ada yang mau ditanyain, keluh kesah, atau sekadar butuh bantuan, langsung aja ke fitur Live Chat di aplikasi Floq.
Stay happy dan semoga harimu semanis review kamu tadi~ ✨",2025-10-07 21:19:45,1.5.0,sangat mendukung terutama untuk pemula aksesnyh sangatt2 fleksibilitas untuk mudah dipahami,positif
99a46095-28fe-417a-8dcc-2c17ec4fbe47,Upa Gamers,https://play-lh.googleusercontent.com/a-/ALV-UjVN1tB2BsIOpY9KLpeHaVJDx6eS4R_2JNYIFDs7WK2lKwd15ws,"keren exchange nya bisa beli btc 1.000 rupiah, kalo boleh request tambahin lagi koin baru biar lengkap",5,0,1.5.2,2025-10-07 20:14:05,"Hai! 👋
Terima kasih banyak atas review positifnya 🙌 Senang banget dengar kamu nyaman pakai aplikasi Floq.
Masukan soal fitur Futures sudah kami catat ya 👍 Tim kami terus berinovasi, semoga segera bisa hadir.
Jangan lupa terus pantau update dari Floq 🚀",2025-10-07 20:17:22,1.5.2,keren exchange nya bisa beli btc 1 000 rupiah kalo boleh request tambahin lagi koin baru biar lengkap,positif
968d39f1-f237-417f-a414-cb974b859fd8,Nurhakiki Nurhakiki,https://play-lh.googleusercontent.com/a-/ALV-UjVxnlVXLApeG1JmViVi7UCCzdsQweNaKx3GvVnwwqQqY7428-Q,"Hai FLOQ team! Aplikasinya keren banget, tapi akan lebih sempurna kalau ada mode gelap (dark mode). Banyak pengguna (termasuk saya) lebih suka tampilan gelap karena lebih nyaman di mata dan terlihat elegan, apalagi kalau digunakan malam hari. Semoga bisa jadi salah satu update berikutnya ya 🙏",4,0,,2025-10-07 16:53:55,"Hai! 👋
Terima kasih banyak atas review positifnya 🙌 Senang banget dengar kamu nyaman pakai aplikasi Floq.
Masukan soal fitur Futures sudah kami catat ya 👍 Tim kami terus berinovasi, semoga segera bisa hadir.
Jangan lupa terus pantau update dari Floq 🚀",2025-10-07 16:56:42,,hai floq team aplikasinya keren banget tapi akan lebih sempurna kalau ada mode gelap dark mode banyak pengguna termasuk saya lebih suka tampilan gelap karena lebih nyaman di mata dan terlihat elegan apalagi kalau digunakan malam hari semoga bisa jadi salah satu update berikutnya ya,positif
1a24a20e-41b1-48db-b8e0-64286273c269,Aris Tugiman,https://play-lh.googleusercontent.com/a/ACg8ocKrMr63WtHhMCBpqEKL2lHt_gUQMZXC5ZUuXl9p9y5XIA2gaA=mo,kenapa tidak ada menu jual aset saya. kalau mau jual aset atau menghentikan transaksi bagaimana???,2,0,1.5.2,2025-10-07 13:22:09,"Hai! 👋
Maaf ya atas kendala yang kamu alami. Yuk, langsung hubungi tim support lewat Live Chat di aplikasi atau kamu bisa menghubungi kami melalui email customerservice@floq.id biar bisa kami bantu lebih cepat 💬

Kalau sudah teratasi, kami akan senang banget kalau kamu mau update review-nya 🌟
Makasih banyak atas dukungannya! 💛",2025-10-07 13:23:41,1.5.2,kenapa tidak ada menu jual aset saya kalau mau jual aset atau menghentikan transaksi bagaimana,negatif
